MC_cycle,Potentiel_energy (kJ/mol)
353.0,-154298.6430381892
354.0,-154296.77150620552
355.0,-154296.77150620552
356.0,-154298.89799720942
357.0,-154298.97375141125
358.0,-154299.1185102375
359.0,-154302.55622361315
360.0,-154304.16421680083
361.0,-154299.0987560252
362.0,-154299.0987560252
363.0,-154301.83070039254
364.0,-154302.49502455434
365.0,-154301.70000616484
366.0,-154300.37790447296
367.0,-154303.5510301268
368.0,-154303.5510301268
369.0,-154303.5707481115
370.0,-154302.69564775194
371.0,-154303.6537988118
372.0,-154307.37200909737
373.0,-154307.71875146724
374.0,-154308.01167432216
375.0,-154308.39216589113
376.0,-154307.55821439964
377.0,-154308.00994852843
378.0,-154310.04121888703
379.0,-154310.8449299988
380.0,-154309.6750746016
381.0,-154308.18943281975
382.0,-154308.18943281975
383.0,-154308.18943281975
384.0,-154307.849495872
385.0,-154308.65739086457
386.0,-154308.4598135621
387.0,-154305.0520558595
388.0,-154303.18910757863
389.0,-154303.15124562275
390.0,-154303.15124562275
391.0,-154307.95351220365
392.0,-154307.95351220365
393.0,-154309.57276592642
394.0,-154307.6019980352
395.0,-154307.7372492707
396.0,-154307.7847214221
397.0,-154307.7847214221
398.0,-154310.23903411097
399.0,-154303.47338617584
400.0,-154304.8703527862
401.0,-154304.0282066235
402.0,-154301.0841602931
403.0,-154303.71140769488
404.0,-154303.98332560304
405.0,-154303.95086426777
406.0,-154304.82972419704
407.0,-154305.79787186423
408.0,-154307.39096816946
409.0,-154307.1012765104
410.0,-154306.25244897956
411.0,-154300.5250809244
412.0,-154298.77900463156
413.0,-154296.32771902543
414.0,-154296.38679928344
415.0,-154297.38517184928
416.0,-154303.1534036624
417.0,-154303.1534036624
418.0,-154303.34875744578
419.0,-154302.1378018358
420.0,-154299.94285695525
421.0,-154303.51881467472
422.0,-154303.51881467472
423.0,-154303.54689031004
424.0,-154303.95080903944
425.0,-154302.81016816123
426.0,-154296.61950794945
427.0,-154296.23146936946
428.0,-154297.52448456586
429.0,-154290.97708282157
430.0,-154290.70833974026
431.0,-154292.81999325502
432.0,-154299.0136076874
433.0,-154299.0136076874
434.0,-154300.54300971577
435.0,-154298.87732951992
436.0,-154298.87732951992
437.0,-154298.01093001073
438.0,-154298.46827198012
439.0,-154298.46827198012
440.0,-154294.75529048697
441.0,-154294.35756709252
442.0,-154295.51322098277
443.0,-154295.51322098277
444.0,-154296.71711731103
445.0,-154298.7169747426
446.0,-154295.8355166312
447.0,-154295.62142114076
448.0,-154294.2561144515
449.0,-154285.58352500937
450.0,-154290.1836469202
451.0,-154291.4027297559
452.0,-154291.29228637277
453.0,-154288.49905354762
454.0,-154288.49905354762
455.0,-154283.66257513783
456.0,-154284.574956737
457.0,-154281.8940922439
458.0,-154285.2188273137
459.0,-154286.72171023194
460.0,-154286.1488353981
461.0,-154283.51236156494
