Structures,K_Xe_widom,dK_Xe_widom,H_Xe_0_widom,dH_Xe_0_widom
NIKHAS_clean,0.00112872,5.22698e-06,-33.60129426230283,0.007005622976291413
NIKJIB_clean,0.000232752,8.44148e-07,-27.047400840180366,0.02392788482920831
NIKJOH_clean,0.00118463,4.77831e-06,-32.79183941596915,0.045995927924873316
NIKJUN_clean,0.0012796,8.52309e-06,-33.362764310458886,0.03626484243075266
NIKKAU_clean,0.00109986,1.25734e-05,-32.78814910468821,0.05567441088121416
NIKKIC_clean,0.000450515,3.82677e-06,-29.51863049259313,0.030500809723039188
NIKYOW01_clean,4.49202e-05,3.76909e-07,-28.837519822458674,0.023518463107296345
NIKYOW02_clean,6.60839e-05,1.05624e-06,-28.9780539168879,0.05189602017423446
NIKYOW_clean,3.71231e-05,8.79511e-07,-28.71883827489,0.050335543671273096
NIKYUC01_clean,8.78882e-05,1.33125e-06,-28.819693394938085,0.016446026643423803
NIKYUC02_clean,8.81636e-05,4.9681e-07,-28.203900138891925,0.006998319336983045
NIKYUC_clean,8.89013e-05,7.78515e-07,-29.133566392385333,0.023454277985975176
NIKZAJ01_clean,4.40539e-05,7.11646e-07,-28.784213174783716,0.04695546517313791
NIKZAJ02_clean,5.85528e-05,3.62389e-07,-28.83203822325688,0.035276166443176306
NIKZAJ_clean,3.80918e-05,8.8839e-07,-28.739397729280174,0.035927208644621386
NIKZEN01_clean,8.52815e-05,8.15906e-07,-28.94216086095775,0.020726994623281612
NIKZEN02_clean,9.0196e-05,9.39937e-07,-28.626922002492464,0.014777150424705917
NIKZEN_clean,8.39286e-05,8.57511e-07,-29.093989099062114,0.008738545727541763
NIMPEG01_clean,0.000100414,9.04206e-07,-22.47357577762814,0.042482693751900696
NIMPEG_clean,0.000121575,5.36702e-07,-23.374183174589152,0.018471633844791516
NIMPOQ_clean,0.00011926,1.13846e-06,-23.71756329555983,0.05061634722657059
NIMQAC_clean,0.0019264,8.48053e-06,-35.85534164267959,0.013097739746098638
NIMQAD_clean,5.08005e-05,3.74583e-07,-21.29569984426029,0.027356205630389274
NIMTAE_clean,0.00065795,5.022e-06,-31.01208195542339,0.00974772219421095
NIMTEJ_clean,4.40675e-23,8.7688e-24,61.63706809602997,0.3934908290470216
NIMVEL_clean,2.23381e-23,1.87504e-24,63.32623637161026,0.3915243271886687
NIMVIP_clean,1.12702e-23,1.56579e-24,64.89871987234916,0.16954390873327507
NIMWUD_clean,0.00207206,3.40664e-05,-37.59472621706564,0.023779846946407435
