Structures,CPU_time (s)
BAKGIF_clean,83.93
BAKGIF_clean5b,86.21
BAKGIF_manual,84.47
BAKJEE_clean,98.93
BAKJII_clean,90.52
BAKJOO_clean,129.53
BAKLIK_clean,188.89
BAKYIY_clean,99.79
BAKYOE_clean,89.93
BALMUW01_clean,98.27
BALMUW_clean,95.07
BAMKIM_clean,173.0
BAMKOS_clean,173.32
BANMAG_clean,100.06
BAPDAA_clean,155.8
BAPVEW_clean,205.82
BAQWEY_clean,104.09
BAQWIC_clean,91.53
BAQWOI_clean,265.76
BARZAW_clean,256.54
BARZIE_clean,264.04
BARZOK_clean,251.05
BARZOL_charged,352.76
BARZUR_clean,100.08
BASJUB_clean,87.16
BASSOF_clean,125.68
BASSUL_clean,134.97
BASTAS_clean,134.59
BASTEW_clean,124.81
BASTIA_clean,128.27
BASTUM_clean,124.24
BAWRUO_clean,97.56
BAXFIR01_clean,119.51
BAXFIR02_clean,119.19
BAXFUD_clean,122.63
BAXGAK_clean,156.11
BAXLOD_clean,85.02
BAXREY_clean,528.62
BAXSIE_clean,102.83
BAYCOU_clean,304.8
BAZDAJ_charged,139.81
BAZDAJ_clean,134.43
BAZJET_clean,86.84
BAZJIX_clean,129.43
BEFGEA_clean5b,224.37
BEFGEA_manual,225.84
BEFKUU_clean,66.74
BEFLAB01_clean,132.01
BEFLEF_clean,71.86
BEFLIJ_clean,75.32
BEFLUV_clean,71.05
BEFMAC_clean,84.29
BEFMOQ_clean,77.59
BEFMUW_clean,79.91
BEFNAD_clean,80.75
BEFNEH_clean,79.38
BEFNIL_clean,74.97
BEFNOR_clean,76.16
BEFNUX_clean,78.06
BEFPAF_clean,90.2
BEGBOG_clean,156.59
BEGDEY_clean,255.07
BEJZAS_clean,87.15
BEKSAM_clean,134.71
BEKYOG_clean,153.77
BEKYUM_clean,163.58
BEKZEX01_clean,170.79
BEKZEX_clean,175.27
BELJIL_clean,177.66
BELTOD_clean,165.06
BELTUJ_clean,160.35
BELVAR_charged,150.21
BELVEV_charged,129.71
BELYIC_clean,111.46
BENXOJ,181.75
BENXUP_clean,137.85
BENZOL_clean,115.5
BENZUR_clean,112.59
BEPBAB_clean,119.22
BEPLUF_clean,120.52
BEPMAM_clean,120.68
BEPMEQ_clean,125.7
BEPMIU_clean,135.84
BEPNER_clean,341.34
BEPNIV_clean,117.82
BEPNOB_clean,118.35
BEPNUH_clean,130.72
BEPPAP_clean,127.56
BEPPIX_clean,151.4
BEPPOD_clean,147.02
BEPREV01_clean,237.47
BEPREV02_clean,188.13
BEPREV03_clean,236.07
BEPREV_clean,229.93
BEPRIZ_clean,125.31
BEPROF_clean,155.86
BEPVAV_clean,181.36
BEPVEZ_clean,181.15
BEPVID_clean,179.78
BEPVOJ01_clean,184.29
BEPVOJ_clean,179.94
BEPWEA_clean,119.37
BEPYIG_clean,134.88
BEQFEK_clean,166.46
BERFIP_clean,142.72
BERGAI_clean,94.69
BERQIA_clean,326.2
BETDAH_clean,78.39
BETDEL_clean,77.35
BETDIP_clean,109.87
BETDOV_clean,122.54
BETDUB_clean,105.91
BETFAJ_clean,79.76
BETFEN_clean,81.46
BETFIR_clean,139.58
BETFOX_clean,164.16
BETFUD_clean,80.29
BETGAK_clean,79.55
BETGEO_clean,143.01
BETGIS_clean,143.44
BETGOY_clean,136.01
BETGUE_clean,108.88
BETHEP_clean,132.17
BETHIT_clean,107.38
BETZOR_clean,200.77
BEVQID_clean,110.84
BEVQUP_clean,74.55
BEVRAW_clean,109.31
BEVWAB_clean,90.42
BEWRUR_clean,504.06
BEWSAY_clean,518.01
BEWVEG_clean,102.79
BEWVOQ_clean,48.28
BEWWEH_clean,74.43
BEXPAX_clean,72.63
BEXQIF_clean,56.81
BEXQOL_clean,56.83
BEXQUR_clean,56.94
BEXRAY_clean,57.48
BEXREC_clean,57.74
BEXRIG_clean,56.81
BEXRUT_clean,146.11
BEXSAA_clean,145.44
BEXSEE_clean,143.53
BEXSII_clean,106.07
BEXTUV_clean,165.14
BEXVAD01_clean,146.89
BEXVAD_clean,149.46
BEXVEH_clean,147.41
BEXVIL_clean,87.34
BEYKEX_clean,128.78
BEYSEF_clean,125.04
BEZDUH_clean,90.32
BEZSIK_clean,64.74
BIBBUL_clean,166.11
BIBMAC_clean,181.63
BIBMEG_clean,187.2
BIBMIK_clean,144.47
BIBXOB_clean,102.51
BIBXUH_clean,97.6
BIBYAO_clean,872.8
BICDAU_clean,81.84
BICPOT_clean,119.87
BICPUA_clean,72.09
BIDPOV_clean,192.34
BIFGOO_clean,130.29
BIFKEI_clean,115.62
BIHBEB_clean,136.58
BIHMUC_clean,138.05
BIHRER_clean,216.87
BIJDUV_clean,222.9
BIJFAD_clean,228.37
BIJJOV_clean,241.88
BIMDEF_clean,92.65
BIMDIL_clean,87.73
BIMDOR_charged,310.3
BINCUY_clean_b,261.09
BINCUY_manual,256.35
BINDAF_clean_b,262.89
BINDAF_manual,263.66
BINMIW_clean,139.81
BIPBAF_clean,145.08
BIPKIW_clean,425.21
BIPLIX_clean,137.69
BIQFOW_clean,132.67
BIQHEQ_clean,132.7
BIQRIE_clean,158.42
BIQVII_clean,162.28
BIRGIU_clean,188.84
BIRLIZ_clean,150.37
BIRMUM_clean,237.98
BIRSEC_clean,128.91
BIRSIG_clean,129.86
BIVXEK_clean,140.16
BIWHAQ_clean,77.06
BIWSIK_ion_b,256.64
BIWYAH10_clean,39.74
BIXXIR_clean,129.76
BIXYEO_clean,137.88
BIYSUZ_clean,79.6
BIYTAG_clean,83.3
BIYTEJ,105.87
BIYTOU_clean,95.48
BIYVEM_clean,83.48
BIYVIQ_clean,84.63
BIYXUE_charged,400.66
BIYYAL_charged,414.51
BIYYEP_charged,537.06
BIZLUT_clean,363.67
BIZMAA_clean,370.23
BIZMEE_clean,358.77
BIZMII_clean,355.33
BOCKOT_clean,135.62
BOCTEU01_clean,46.53
BOCTOE01_clean,54.37
BOCTOE02_clean,54.5
BOCTOE03_clean,54.34
BOCTOE04_clean,58.4
BOCTOE05_clean,59.12
BOCTOE_clean,55.8
BOFCEG_clean,101.5
BOHGOU_clean,96.43
BOHJOZ_auto,193.23
BOHWOM_clean,205.04
BOHXIH_clean,219.03
BOJCIN_clean,286.75
BOJDAG_clean,107.44
BOJYIK01_clean,98.52
BOJYIK_clean,96.74
BOKQEZ_clean,117.7
BOLPAU_clean,249.69
BOLPEY_clean,116.84
BOMCOX_clean,113.61
BOMCUB_charged,167.33
BOMCUB_clean,166.11
BONMEX_clean,112.99
BONNIC_clean,163.12
BONWAD_clean,122.79
BONWIL_clean,154.58
BOPHEV_clean,190.07
BOPHIZ_clean,133.93
BOPWIO_clean,223.52
BOQYUD_clean,135.11
BORBEQ_clean,166.18
BOSHIC_clean,256.08
BOTLED_clean,92.37
BOVHEB_clean,112.05
BOWDIC_clean,119.93
BOWNUY_clean,114.7
BOWQAG_clean,174.91
BOWQAG_SL,180.88
BOWRAH_clean,153.38
BOWSOW_clean,77.36
BOWSUC_clean,82.78
BOWZUK_clean,128.52
BOXYEU_clean,119.17
BOXYIY_clean,87.77
BOYCEY_auto,167.15
BOYTEQ_clean,148.44
BOYYOF_clean,154.7
BOZFIH_clean,154.78
BOZFON_clean,140.05
BUBDIL_clean,388.24
BUBQOE_clean,85.68
BUBTUP_clean,257.36
BUBWOM_clean,286.39
BUCROH_charged,134.18
BUCSAU_clean,160.83
BUCSEY_clean,131.72
BUCSIC01_clean,162.54
BUCSIC_charged,134.1
BUCTUQ_clean,343.87
BUCVAY_clean,344.13
BUCVIG_clean,345.18
BUCWAZ_clean,74.14
BUCYAA_clean,221.43
BUDDIO_clean,103.8
BUFPIC_clean,797.34
BUGSAY_clean,139.15
BUGSEC_clean,139.86
BUGSIG_clean,139.1
BUGSOM_clean,141.77
BUJKEW01_clean,85.91
BUKMUQ01_clean,66.57
BUKMUQ_clean,69.23
BUKRUW01_clean,148.74
BUKRUW02_clean,134.9
BUKRUW03_clean,128.72
BUKYAJ_clean,121.25
BULBER_clean,189.15
BUPDOH_clean,199.62
BUPVEP_clean,141.79
BUQWER_clean,142.13
BURHUS_clean,81.04
BURJOO_clean,154.66
BURQIQ_clean,281.72
BUSGIG_clean,181.61
BUSGOM_clean,181.86
BUSNAF_clean,146.94
BUSQEM_clean,92.46
BUSQIQ_clean,133.14
BUSQUC_clean,124.73
BUSRUE_clean,132.23
BUSSEP_clean,250.04
BUSTAM_clean,251.38
BUVHEH_clean,91.01
BUVKUA_clean,138.55
BUVVIZ_clean,302.28
BUVVOF_clean,309.56
BUVWOF02_clean,131.45
BUVWOF03_clean,197.75
BUVXOG_clean,133.67
BUVYEX_clean,186.07
BUVYIB01_clean,125.55
BUVYIB_clean,129.09
BUWGAC_clean,131.22
BUWGEG_clean,140.26
BUWLUC_clean,85.41
BUWMAJ_clean,63.13
BUWMEN_clean,113.02
BUWMIR_clean,105.66
BUXTOF_clean,347.3
BUXTUL_clean,171.78
BUYNAL_charged,264.97
c4ce00408f_c4ce00408f2_clean,164.07
c4dt02048k_c4dt02048k2_clean,152.09
c4dt03702b_c4dt03702b2_clean,99.45
c4ra13058h_c4ra13058h2_clean,119.1
c5cc01886b_c5cc01886b2_clean,139.26
