Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
AWEJIW_clean_2,-31.5042,0.000710385,54.2591
AWEDOW_charged_52,-26.8432,0.000104523,55.2587
AYOXUJ_clean_15,-26.0926,4.2989e-05,37.9052
AWEJES_clean_58,-25.5959,6.50201e-05,55.9398
BAKFAV_clean_2,-30.3642,0.000324198,13.9077
BACMOH10_clean_19,-19.4314,3.42391e-07,26.558
AXIPEE03_clean_14,-25.1851,0.000105959,48.9803
BADJIC_clean_15,-25.2745,9.6417e-06,22.4296
AJIGIL_clean_19,-28.2912,9.18192e-05,199.378
AZIMIH_clean_15,-32.3732,0.000480804,32.1773
AMEJOS_charged_2,-35.5201,0.000392751,176.438
BAKGAX_clean_62,-28.1154,6.27233e-05,18.3093
AWAGOV_clean_85,-37.5277,0.000614385,65.4374
AVUDAX_clean_14,-27.1827,0.000194958,70.5759
BAKJII_clean_14,-25.7867,0.000334087,17.2892
BALMUW_clean_2,15.1376,2.58485e-14,11.2554
BALMUW01_clean_2,20.2736,2.86716e-15,11.3722
BAKYIY_clean_63,-26.0253,0.00021564,12.6875
AWAHEM_clean_1,-20.8555,1.14564e-05,69.8648
AZOHEC_clean_13,-34.3687,0.000730991,38.3612
AVETOM_clean_68,-41.0748,0.00338892,86.6265
ATAYAX_clean_1,-28.5597,0.000302644,113.271
BAKGIF_clean_2,-23.1,6.23259e-05,26.2544
BAKGIF_clean5b_2,-23.1,6.23259e-05,26.4247
BAKGIF_manual_2,-23.1,6.23259e-05,26.2473
BAEDTA01_clean_104,-48.1085,0.0261583,34.7679
BANMAG_clean_66,-18.6579,6.09579e-06,17.0168
