Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
ATICAH_clean_14,-26.8792,9.04739e-05,22.0932
ATICEL_clean_14,-26.621,6.78e-05,22.2599
ATIBUA_clean_14,-28.0843,7.50013e-05,22.8263
ANIDIL_clean_15,-30.1856,0.000121227,84.3194
AMIMEP_clean_9,-36.2838,0.00162538,101.428
ALUJEX_clean_2,-27.9865,0.000384254,117.556
AMIMAL_clean_14,-35.639,0.00145043,103
AMILOY_clean_14,-35.7663,0.00154373,104.02
ANEHEI_clean_2,-33.3344,0.000643639,90.4503
ASUBIB_clean_2,-27.4739,0.000403134,35.8579
ATEZAC_clean_15,-22.6858,0.000165076,30.4033
ASECUY_clean_15,-24.2836,4.5638e-05,42.1247
AVIHOE_clean_91,-25.3287,0.000201372,7.70809
ARINOF_clean_2,-34.8189,0.000569608,53.8706
AQIXUU_clean_2,-47.4278,0.0528439,66.2023
ASALOV_clean_9,-40.3241,0.00372839,49.0125
ATIXAE_clean_14,-25.7956,0.000136684,29.5438
AVEROJ_clean_4,-23.2477,7.88974e-05,14.9397
AVIHIY_clean_78,-25.0303,0.000185899,12.391
AVAQIX01_clean_61,-35.4594,0.00362455,22.6054
AVAQIX_clean_61,-34.898,0.00336011,22.2521
ATEZIK_clean_15,-24.246,0.000251748,36.8122
AQEFOS_clean_2,-21.2805,1.31413e-05,75.8245
ATUXIY_clean_15,-29.229,0.0004841,27.2941
AVETAY_clean_122,-28.6954,0.000635147,15.861
ATEZEG_clean_15,-25.8019,0.000416923,39.9556
AHINIP_clean_4,-36.3435,0.0010591,146.731
AVETEC_clean_122,-28.9303,0.000693737,16.4685
AMIXEA_clean_1,-36.3885,0.0018155,110.907
AVIVEG_clean_141,-29.3407,0.000219513,12.5871
AVIVAC_clean_141,-29.58,0.000219902,13.3175
AVIVOQ_clean_141,-27.2828,0.000169366,12.1446
AVITUU_clean_141,-26.3424,0.000135617,13.6975
AVEQID_clean_14,-20.3721,0.000116874,20.7813
AVIVIK_clean_141,-28.6692,0.000176936,12.7812
ARUDAU_clean_2,-37.0809,0.00733843,61.3991
AVIVUW_clean_141,-27.9931,0.00015101,12.197
ASOVEL_clean_19,-27.8825,0.000396933,49.736
ARUCUN_clean_2,-37.4478,0.00660142,62.7378
APEBUU_clean_15,-32.757,0.000468857,85.5992
AVELOD_clean_118,-25.8316,0.000150359,28.2355
ARUCOH01_clean_14,-35.5991,0.00559426,66.2116
AVESOL_clean_14,-25.374,0.000367474,24.8601
ATULIM_clean_32,-36.0269,0.00153891,35.6323
AVEMOE_clean_33,-27.0994,4.29888e-06,25.7867
AFITUF_clean_4,-28.5063,0.000214106,168.029
AVAGIP_clean_88,-32.6976,0.000306366,34.417
AVELUJ_clean_118,-26.5698,0.000176117,29.0241
AVIPOL_clean_14,-24.3616,0.000275815,20.2661
ASUJIJ_clean_14,-36.9571,0.000622278,53.3845
ASAHEJ_clean_2,-19.6616,9.92087e-06,62.3287
AVAGUB_clean_86,-26.9517,2.44757e-05,33.1478
ATEXII_clean_19,-34.9717,0.000455578,49.9369
AVAGOV_clean_88,-32.5692,0.000351511,34.2935
ASOYOY_clean_80,-25.6242,0.000208611,56.7125
AVEMAQ_clean_118,-26.6588,0.000183315,29.2032
AVESUR_clean_56,-24.2023,0.000162659,27.1279
AVUJIL_clean_14,28.1639,1.95045e-16,17.8781
ARUYES_14,532.267,4.41674e-107,70.341
AVEVEE_clean_2,-26.1435,1.6602e-05,28.2117
AWUPAL_clean_58,-15.2904,3.85386e-05,10.1712
AXAQAT_clean_8,-9.94621,2.3977e-09,9.45825
AWUPOZ_clean_58,-15.7238,4.19627e-05,10.1657
AWOFOI_clean_14,-24.0513,0.000112593,11.1309
AXIGAR_clean_9,-18.3781,2.53201e-05,9.82788
AVIMIC_clean_15,-28.8768,0.000265765,32.3786
AVIPAX_clean_14,-28.0511,0.000535253,31.1689
AXAWUT_clean_60,-24.9327,5.0597e-06,11.2306
AXUDII04_clean_225,-24.2806,2.87497e-05,1.88216
ASADAA_clean_2,-27.8611,0.000222095,74.7077
