Structures,ASA_m2/cm3,NASA_m2/cm3,SA_m2/cm3
BEFNEH_clean,0.0,455.553,455.553
BEFNIL_clean,0.0,230.822,230.822
BEFNOR_clean,0.0,524.806,524.806
BEFNUX_clean,0.0,463.566,463.566
BEFPAF_clean,0.0,1101.42,1101.42
BEGBOG_clean,0.0,121.231,121.231
BEGDEY_clean,1485.43,0.0,1485.43
BEJZAS_clean,0.0,712.977,712.977
BEKSAM_clean,0.0,94.5022,94.5022
BEKYOG_clean,739.942,0.0,739.942
BEKYUM_clean,0.0,261.406,261.406
BEKZEX01_clean,0.0,5.73275,5.73275
BEKZEX_clean,0.0,5.72834,5.72834
BELJIL_clean,710.981,0.0,710.981
BELTOD_clean,1206.4,0.0,1206.4
BELTUJ_clean,1081.39,0.0,1081.39
BELVAR_charged,0.0,643.866,643.866
BELVEV_charged,1632.82,0.0,1632.82
BELYIC_clean,0.0,77.4664,77.4664
BENXOJ,0.0,61.3145,61.3145
BENXUP_clean,0.0,119.988,119.988
BENZOL_clean,984.083,0.0,984.083
BENZUR_clean,1041.34,0.0,1041.34
BEPBAB_clean,980.729,0.0,980.729
BEPLUF_clean,1237.92,0.0,1237.92
BEPMAM_clean,1205.17,0.0,1205.17
BEPMEQ_clean,1061.27,0.0,1061.27
BEPMIU_clean,1030.42,0.0,1030.42
BEPNER_clean,0.0,0.0,0.0
BEPNIV_clean,1244.93,0.0,1244.93
BEPNOB_clean,1207.2,0.0,1207.2
BEPNUH_clean,1055.57,0.0,1055.57
BEPPAP_clean,1060.3,0.0,1060.3
BEPPIX_clean,1080.3,0.0,1080.3
BEPPOD_clean,1090.75,0.0,1090.75
BEPREV01_clean,2117.94,0.0,2117.94
BEPREV02_clean,2245.64,0.0,2245.64
BEPREV03_clean,2199.77,0.0,2199.77
BEPREV_clean,2189.69,0.0,2189.69
BEPRIZ_clean,1924.27,0.0,1924.27
BEPROF_clean,2183.13,0.0,2183.13
BEPVAV_clean,0.0,298.74,298.74
BEPVEZ_clean,729.23,0.0,729.23
BEPVID_clean,586.17,0.0,586.17
BEPVOJ01_clean,553.98,0.0,553.98
BEPVOJ_clean,515.198,0.0,515.198
BEPWEA_clean,682.568,0.0,682.568
BEPYIG_clean,748.392,0.0,748.392
BEQFEK_clean,694.214,0.0,694.214
BERFIP_clean,0.0,17.9846,17.9846
BERGAI_clean,0.0,392.591,392.591
BERQIA_clean,1290.21,0.0,1290.21
BETDAH_clean,1979.62,0.0,1979.62
