Structures,D_i_vdw_uff298,D_f_vdw_uff298,D_if_vdw_uff298
AVAJUE_clean,36.74049,18.75588,36.74049
AVAKAL_clean,25.67261,12.18381,25.67261
AVAKEP_clean,24.39044,12.06665,24.39044
AVALEO_clean,2.99091,1.91267,2.91635
AVAQIX01_clean,5.14402,3.45417,5.13655
AVAQIX_clean,5.23021,3.43496,5.20885
AVEHAM_clean,4.02606,3.48362,4.01971
AVELOD_clean,7.29878,4.5239,7.29878
AVELUJ_clean,7.32518,4.45852,7.32416
AVEMAQ_clean,7.1306,4.5809,7.1306
AVEMOE_clean,3.23785,2.29715,3.18677
AVEQID_clean,7.36491,5.89466,7.03958
AVEROJ_clean,6.87039,6.79344,6.87039
AVESAW_clean,4.27797,1.98366,4.22666
AVESOL_clean,5.62859,4.15643,5.62859
AVESUR_clean,6.20846,4.02147,6.20548
AVETAY_clean,5.20331,3.96172,5.13601
AVETEC_clean,5.18318,3.25447,5.18318
AVETOM_clean,5.09789,2.25563,5.09756
AVEVEE_clean,3.86708,3.23481,3.86708
AVIHIY_clean,6.68855,6.39724,6.68855
AVIHOE_clean,6.63396,6.38334,6.63396
AVILEY_clean,25.23669,10.81626,23.22351
AVIMIC_clean,5.19516,4.93155,5.1951
AVIMOI_clean,5.19209,4.12691,5.13068
AVIMUO_clean,5.30157,3.31592,4.8636
AVIPAX_clean,7.05639,5.36632,7.05512
AVIPOL_clean,6.48427,5.44686,6.47596
AVITUU_clean,10.90774,6.45628,10.90774
AVIVAC_clean,11.05486,6.95343,11.05486
AVIVEG_clean,11.06281,7.01612,11.06281
AVIVIK_clean,11.01418,6.49052,11.01418
AVIVOQ_clean,11.15646,6.87553,11.15646
AVIVUW_clean,11.25556,6.57362,11.25556
AVOSIO_charged,10.61167,9.39517,10.61167
AVUBUP_clean,3.90052,2.50866,3.90052
AVUCEA_clean,10.44717,4.36328,5.07183
AVUDAX_clean,5.21498,3.16939,5.21498
AVUHIJ_clean,3.45271,2.43647,3.44444
AVUJIL_clean,3.07306,2.05412,3.07164
AVUPIR_clean_h,3.7388,3.24341,3.73705
