Structures,chem_comp,solvent_removed,framework_count,framework_mean_dim
AQERUL_clean,Co32O5304N2448C26112H23664,1,1,3.0
AQETIA_clean,Mn8Nb124H496C1488N1240,1,1,3.0
AQETUM_clean,Mn8Nb124C992N992,1,1,3.0
AQIQAU_clean,C9792N816H112Cd408O1632,1,2,3.0
AQIQIC_clean,C6120N408O4488Mn16H2040,1,1,3.0
AQIXUU_clean,Co10O918H2448C612N102,1,1,3.0
AQIXUV_clean,Ni3O1836N306C8568H7242,1,1,3.0
AQMAND01_clean,Nd124H10C558O744,1,1,3.0
AQMAND_clean,Nd4C558O744,1,1,3.0
AQODOA_clean,Ag124H60C1364S124N496O372,1,1,3.0
AQOLEZ_clean,N4080C4488H3672Co12Cl153,1,1,3.0
AQOLOJ_clean,N4896C6120H3672Co12Cl153,1,1,3.0
AQOMAW_clean,N2448C6120H3672Co36Cl153O612,1,1,3.0
AQOSEG_clean,C16320H256Cu1632N9792,1,1,3.0
AQOTIK_clean,Pt31Fe1N186C744,1,1,3.0
AQUCOF_clean,Cu372H30C1550N620O620,1,1,3.0
AQUCOG_clean,Ni18O2754C3672H918,1,1,3.0
AQUCUM_clean,Ni18O2754C3672H918,1,1,3.0
AQUDAS_clean,Cu372H30C1550N620O620,1,1,3.0
AQUDAT_clean,Cu248O496N1240C2108H56,1,1,3.0
AQUDEX_clean,Cu248O496N1240C2108H56,1,1,3.0
AQUDIB_clean,Ni18O2754C3672H918,1,1,3.0
AQUDOH_clean,Cu248O496N1240C2108H56,1,1,3.0
ARADEE_clean,Cd372C2976H40N372O1488,1,1,3.0
ARAFEF_clean,N1224H32C2040Cu204,1,1,3.0
ARAFIJ_clean,N1224C2040H32Cu204,1,1,3.0
ARAFOP_clean,N1224H32C2040Cu204,1,1,3.0
ARAGOR_clean,Cu248S496O1984C2976H32Ca248,1,1,3.0
ARAHIM01_clean,C1632H1632Nb204Ni4O204F1020N816,1,1,3.0
