Structures,Adsorption_enthalpy[kJ/mol],Henry_const[mol/kg/Pa],Minimum_energy_channel[kJ/mol],Barrier_energy[kJ/mol],Time[s]
AMEJOS_charged_2,-35.0551,0.000269156,-36.4972,12.1028,3.27412
ADAVEI_clean_199,-26.8601,9.52076e-05,-31.3355,-14.1355,51.2175
AFUKET_clean_1,-39.4751,0.00369388,-31.2419,-24.1419,34.2619
ALUREF_clean_18,-28.6087,0.000290376,-33.3222,-12.2222,10.8413
AMIWID_clean_14,-35.6434,0.000923683,-35.4872,0.412793,1.72959
AMIWUP_clean_14,-35.6768,0.000947428,-35.4801,-3.78014,1.65433
AMIXAW_clean_14,-36.0637,0.00103651,-35.912,-3.212,1.70119
AMIWOJ_clean_14,-35.4276,0.000874437,-35.221,-2.821,3.18766
AMIZIG_clean_62,-23.7649,4.81084e-05,-24.7131,-20.8131,2.64704
AMOZAE_clean_14,-23.4835,1.6105e-06,nan,nan,0.118463
AMUCOB_clean_2,-22.7162,3.15286e-07,nan,nan,0.102932
AMUFAR_clean_2,-32.1114,0.000148632,nan,nan,0.162322
AMUFEV_clean_2,-24.2811,3.5556e-06,nan,nan,0.110769
AMUFIZ_clean_2,-23.1421,9.36986e-07,nan,nan,0.0944943
ALUJIB_clean_1,-27.4934,0.00026813,-30.1948,-22.7948,19.5201
ALUJIB_clean_1,-27.4934,0.00026813,-29.5948,-23.8948,19.5201
ALUJIB_clean_1,-27.4934,0.00026813,-30.1948,-22.7948,19.5201
ALUJOH_clean_1,-26.7133,0.000207141,-29.2027,-22.5027,19.0256
ALUJOH_clean_1,-26.7133,0.000207141,-29.1148,-23.6148,19.0256
ALUJOH_clean_1,-26.7133,0.000207141,-29.2027,-22.5027,19.0256
AMIXEA_clean_1,-36.3456,0.00111118,-36.2146,-3.61455,4.27623
AMIXEA_clean_1,-36.3456,0.00111118,-36.2146,-3.61455,4.27623
AMUFOF_clean_2,-29.0872,0.00017905,-29.6506,-25.5506,1.06427
AMOYOR_clean_2,-33.6126,0.00104753,-33.9534,-31.4534,2.51198
AGIREP_clean_2,-22.7273,8.84124e-05,-26.22,-18.82,38.8642
ADATOQ_clean_199,-26.3367,9.02602e-05,-31.1952,-15.0952,58.3195
AMAGAX_clean_2,-28.2843,0.000464348,-28.7318,-24.8318,11.8711
AMAGAX_clean_2,-28.2843,0.000464348,-29.2552,-25.2552,11.8711
AMAGAX_clean_2,-28.2843,0.000464348,-29.255,-25.055,11.8711
AMAGAX_clean_2,-28.2843,0.000464348,-29.252,-25.152,11.8711
AMUPOP_clean_15,-35.4894,0.0005821,-37.6845,-23.4845,4.20205
ADAVAE_clean_199,-27.8942,0.000111891,-32.0849,-13.9849,60.2758
ANENEN_clean_2,-28.3526,0.000234899,-31.0719,-25.4719,1.63426
ANEPIT_clean_2,-9.7191,5.64024e-10,nan,nan,0.401354
ANENIR_clean_1,-29.1212,0.000323903,-32.3511,-27.0511,2.02911
ANEHEI_clean_2,-32.6062,0.000453556,-35.1874,-8.98744,4.27646
AMUXAI_clean_2,-22.5759,3.64157e-05,-26.3182,-17.9182,6.78413
ANAWIX_clean_15,-26.3794,0.000168468,-26.8972,-21.3972,6.87808
ANAWOD_clean_52,-24.5092,0.000122747,-28.5718,-21.5718,6.81575
AMUWUB_clean_2,-20.9494,2.74888e-05,-26.4254,-15.4254,9.3334
ALAHUS_clean_122,-23.2134,7.65093e-05,-25.2111,-19.9111,34.2822
ANIDIL_clean_15,-30.215,0.000137727,-31.2026,-26.8026,5.46147
ALICAA_clean_229,-24.7577,2.75394e-05,-25.6701,16.5299,35.4835
ADOGEH_clean_225,-39.9754,0.00445479,-39.6476,-13.9476,59.2873
ADASUV_clean_2,-18.7192,4.0799e-05,-25.4645,-14.8645,68.3433
ANOMUM_clean_2,-22.3742,0.00011639,-25.6453,-20.5453,7.0743
AMILOY_clean_14,-35.3462,0.000898005,-35.7388,-19.9388,22.1134
AMILOY_clean_14,-35.3462,0.000898005,-29.3985,-19.3985,22.1134
AMILUE_clean_9,-35.1928,0.000827439,-26.2632,-18.1632,22.5136
AMILUE_clean_9,-35.1928,0.000827439,-35.7586,-23.4586,22.5136
AFUKIX_clean_2,-24.6893,0.000119357,-30.7071,-18.5071,53.9735
ANONAT_manual_2,-21.5182,9.22916e-05,-24.8055,-18.1055,8.53132
APARAM_clean_147,-44.075,0.00477639,-26.7785,-12.0785,5.38277
AMIMAL_clean_14,-35.1573,0.000831199,-35.8091,-21.9091,23.0577
AMIMAL_clean_14,-35.1573,0.000831199,-26.6919,-18.2919,23.0577
APEBED_clean_19,-33.846,0.000254979,-34.3915,-13.7915,1.68555
APETAS_clean_13,-22.2165,7.6412e-07,nan,nan,0.119937
APEBEE_clean_2,-32.9127,0.000860421,-35.7171,-25.4171,1.81484
AQALIO_clean_62,1.58516,5.41244e-11,nan,nan,0.156517
AQALOU_clean_62,2.57324,3.05112e-11,nan,nan,0.149966
AMIMEP_clean_9,-35.7894,0.000880244,-36.4359,-23.0359,24.5074
AMIMEP_clean_9,-35.7894,0.000880244,-26.5278,-18.7278,24.5074
AQAJEI_clean_60,-29.128,0.000560742,nan,nan,1.05112
AQEFOS_clean_2,-21.0985,1.44571e-05,nan,nan,1.10204
AQEFUY_clean_15,-20.758,3.39929e-05,nan,nan,1.3497
ADATUW_clean_199,-26.3504,7.94454e-05,-30.9983,-14.9983,75.2271
ANUGUM_clean_2,-20.7744,8.65132e-05,-23.3653,-21.4653,9.72648
AQETIA_clean_14,-17.9524,1.43758e-07,nan,nan,0.137326
AHUFIU_clean_14,-18.3358,2.4666e-05,-25.0599,-15.6599,52.8495
AQEQIW_clean_14,-24.5147,0.000189786,-25.9713,-21.9713,1.67606
AQIQIC_clean_15,-29.608,0.000505284,nan,nan,0.733684
AQETUM_clean_14,-21.4292,9.47992e-06,-22.5197,10.5803,2.15093
AQEQES_clean_15,-24.1117,0.000168527,-24.6272,-21.3272,3.04314
AQMAND01_clean_2,-2.48504,8.35358e-11,nan,nan,0.0609907
AQMAND_clean_2,-0.0529982,3.2173e-11,nan,nan,0.0556552
AQODOA_clean_14,-8.40992,7.27018e-10,nan,nan,0.130541
