Structures,CPU_time (s)
BADHUM01_clean_14,5.14281
BAFKUR_clean_2,3.71429
BAHGUN01_clean_1,4.24794
BAHGUN02_clean_1,4.27243
BAHGUN03_clean_1,4.35272
BAHGUN04_clean_1,4.40497
BAHGUN_clean_1,4.38296
BAKJII_clean_14,3.69648
AXIMUP_clean_14,13.7893
BADJIC_clean_15,6.33222
BAKYIY_clean_63,4.02934
BANMAG_clean_66,3.79794
AYOYOE_clean_2,12.5322
AXUJOT_clean_2,13.4396
AZAVOO_clean_14,12.0066
acscombsci.5b00188_5013797_clean_1,56.4382
AWEWOP_clean_12,17.089
AMIMAL_clean_14,45.1157
AMILOY_clean_14,45.3713
AWEBIO_charged_14,18.4882
AROFAP_clean_1,32.4282
BAKYOE_clean_60,5.40676
AMIMEP_clean_9,45.5902
AWEJIW_clean_2,17.9696
BAXLOD_clean_76,1.15018
BASTEW_clean_56,2.66872
BAXFIR01_clean_14,2.08519
BAXFIR02_clean_14,2.09242
BASTIA_clean_56,2.73123
BAXGAK_clean_14,1.53594
BASTAS_clean_56,2.95474
BASSUL_clean_56,3.17503
BEFLIJ_clean_70,0.37197
AMILUE_clean_9,46.4675
BAKGIF_clean5b_2,7.0795
BEFLUV_clean_126,0.40424
BASTUM_clean_56,2.92666
BEFLAB01_clean_68,0.691362
BAKGIF_clean_2,7.26097
BAXFUD_clean_14,2.05346
AWAHEM_clean_1,20.5377
ASUWUI_clean_2,30.3496
BAKGIF_manual_2,7.26469
BEFLEF_clean_20,0.775253
BEFMAC_clean_15,0.614055
BEFNIL_clean_121,0.392481
BADJAU_clean_43,9.57549
BAXSIE_clean_92,2.08521
AXIPEE03_clean_14,16.4853
ADASUV_clean_2,58.6993
AWAKEQ_clean_14,20.7879
BEGBOG_clean_198,0.668719
AZILEA_clean_1,13.6738
BEFNOR_clean_57,1.05063
BACGAQ_clean_2,12.2124
BEJZAS_clean_19,1.15896
BEFMUW_clean_5,1.84592
BEKZEX01_clean_15,1.29715
BEFNUX_clean_57,1.62107
BEFMOQ_clean_5,1.89217
BEKZEX_clean_15,1.32503
BAKJEE_clean_14,8.47595
BAWRUO_clean_15,4.21908
BAFVAH_clean_139,9.78084
BASJUB_clean_86,6.11554
AXUHIL_clean_14,17.2576
BEFNAD_clean_5,2.30129
BEFNEH_clean_14,2.13201
AZAVUU_clean_19,15.6334
BEKYOG_clean_15,2.04441
BAHMAZ_clean_14,9.95248
BEKYUM_clean_15,2.84762
BEKSAM_clean_1,2.95798
BENXOJ_15,2.53428
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,61.75
AFUKIX_clean_2,58.2653
AZILEC_clean_29,16.5211
ATIJUJ_manual_1,31.8621
BEFPAF_clean_5,4.7868
BELYIC_clean_5,4.2595
BAQWIC_clean_2,10.6514
AFITUF_clean_4,61.0786
BENZOL_clean_2,4.76927
BENXUP_clean_2,4.95724
ATIJUJ_clean5b_1,33.5764
BERFIP_clean_15,1.59488
BAPVEW_clean_14,11.5499
BEPBAB_clean_2,4.9983
BARZUR_clean_5,10.7148
BEPVAV_clean_2,4.15302
BEPROF_clean_167,4.52344
AWAHAI_clean_2,26.9935
BEPRIZ_clean_167,4.67635
BAYCOU_clean_33,8.28997
BEFKUU_clean_2,7.47038
BERGAI_clean_126,2.07129
BENZUR_clean_2,6.02054
AYOYEU_clean_2,21.9788
BASSOF_clean_3,11.3229
BEPVOJ_clean_2,5.00236
BEPVOJ01_clean_2,5.04207
BEPVEZ_clean_2,5.9205
BETGUE_clean_221,1.80804
BEPVID_clean_2,5.5499
BETHIT_clean_221,1.7094
BAKJOO_clean_2,15.4808
BEVQUP_clean_2,0.63192
BEVQID_clean_8,1.23625
BETHEP_clean_221,2.2596
BEPYIG_clean_15,5.47321
BAZJET_clean_11,10.2938
BEVRAW_clean_8,1.31448
BETGOY_clean_221,2.8195
BETGIS_clean_221,2.92434
AWIBIS_clean_15,27.7891
AMUWIP_charged_34,53.8192
BETGEO_clean_221,3.27227
BELTUJ_clean_61,9.92927
AWEJES_clean_58,29.115
BETFIR_clean_15,4.17621
BAKLIK_clean_2,17.6037
BAZDAJ_clean_19,12.2256
BAMKOS_clean_14,16.8035
BELTOD_clean_61,10.7583
BAMKIM_clean_14,16.9036
ALOLES_ion_b_1,61.2437
BAZDAJ_charged_19,12.6953
BEZSIK_clean_14,0.47705
BETDOV_clean_15,6.0863
BETFOX_clean_15,5.59593
BEXTUV_clean_15,2.1875
BEXVAD01_clean_15,2.22184
BEXVAD_clean_15,2.50722
BETDEL_clean_2,7.59496
BETDAH_clean_2,7.9003
BEXPAX_clean_5,4.60606
BEXSII_clean_14,3.69959
BETDIP_clean_2,7.81096
BEZDUH_clean_2,2.48138
BETFEN_clean_2,7.55127
AWEZOS01_clean_15,32.0469
AWEZOS_clean_15,32.0557
AWIBAK_clean_15,32.0039
BETDUB_clean_2,7.89339
BEGDEY_clean_139,13.9893
BEYKEX_clean_14,3.10818
BETFUD_clean_2,7.77718
AJIGIL_clean_19,66.3277
BETFAJ_clean_2,8.29628
BEXSAA_clean_14,4.70639
BEXQOL_clean_19,5.49165
BEXRUT_clean_14,5.01688
BETGAK_clean_2,8.06016
BIMDIL_clean_131,0.626111
BEXQUR_clean_19,5.65171
BEXRAY_clean_19,5.6491
BEXREC_clean_19,5.69942
BIBXUH_clean_225,2.97096
BEXRIG_clean_19,5.72682
BIMDEF_clean_15,1.69918
AZAWAB_clean_2,28.9705
BEWWEH_clean_19,7.08245
BICPOT_clean_15,2.99354
BIQRIE_clean_15,1.52839
BIWHAQ_clean_61,0.717156
BIQFOW_clean_2,2.37307
BEPNER_clean_5,15.5768
BEXSEE_clean_14,7.63945
BIBBUL_clean_19,6.17545
AXUHEH_clean_14,32.9689
BEVWAB_clean_12,9.21348
BIQHEQ_clean_55,3.14504
BAQWEY_clean_2,23.3974
BAFCAP_clean_2,26.8096
BIHMUC_clean_2,5.25264
BIWYAH10_clean_14,1.91874
BIBYAO_clean_225,6.77445
BELJIL_clean_2,18.5921
BIVXEK_clean_2,4.18773
ASEXED_clean_2,52.6051
BIJJOV_clean_15,7.61836
BEXQIF_clean_4,12.6389
BEPWEA_clean_2,17.9275
BEPNOB_clean_4,20.0031
AQIXUV_clean_2,58.4556
BEPNIV_clean_4,20.2693
BAPDAA_clean_2,27.719
BOCTEU01_clean_64,0.672904
BOCTOE04_clean_15,0.423866
BOCTOE05_clean_15,0.414747
BOCTOE01_clean_14,0.956577
BOCTOE02_clean_14,0.989539
BOCTOE03_clean_14,0.983402
BIFKEI_clean_2,9.33923
BEWVOQ_clean_1,14.3808
BEPMAM_clean_4,21.4616
BAZJIX_clean_2,23.9303
BOCTOE_clean_14,0.972934
BOHGOU_clean_9,0.728123
BERQIA_clean_43,18.3435
BEPLUF_clean_4,21.7246
BADYAJ_clean_14,32.4622
BIRSEC_clean_32,8.39316
BIYTAG_clean_62,6.89863
BOFCEG_clean_14,2.01987
BIYSUZ_clean_62,7.16791
BARZAW_clean_2,29.7095
BIRSIG_clean_32,8.69953
BIQVII_clean_2,9.83987
BIYVEM_clean_62,6.92216
BOMCUB_charged_21,0.870942
BOJDAG_clean_58,1.90181
BOMCUB_clean_21,0.939649
BEPMIU_clean_4,23.4505
BAXREY_clean_60,26.8452
BOHXIH_clean_201,2.39422
BEPMEQ_clean_4,23.5624
BIRGIU_clean_14,10.211
BEPNUH_clean_4,23.328
BOJYIK01_clean_2,2.29236
