Structures,CPU_time (s)
BASSOF_clean_3,5.58879
BAMKIM_clean_14,6.07971
BAMKOS_clean_14,6.082
BERGAI_clean_126,1.12461
BEPVAV_clean_2,2.13904
BARZUR_clean_5,6.10429
BETGUE_clean_221,0.470756
BETHIT_clean_221,0.427304
BETHEP_clean_221,0.56715
BETGIS_clean_221,0.70627
BETGOY_clean_221,0.621349
BETGEO_clean_221,0.749251
BEGDEY_clean_139,4.49403
BEPYIG_clean_15,1.90752
BAPVEW_clean_14,6.73182
BEVQUP_clean_2,0.364427
BEPVOJ01_clean_2,2.65425
BEVQID_clean_8,0.675059
BEPVEZ_clean_2,2.91614
BEPVID_clean_2,2.94146
BEVRAW_clean_8,0.747254
BEPVOJ_clean_2,2.69785
AWAKEQ_clean_14,12.7006
BELTUJ_clean_61,4.76898
AFITUF_clean_4,28.3652
AMUWIP_charged_34,23.5313
BELTOD_clean_61,5.19471
AXUHEH_clean_14,11.3986
BETFIR_clean_15,2.25053
BAPDAA_clean_2,8.04026
BEPLUF_clean_4,5.04677
BAKLIK_clean_2,8.36771
AQIXUV_clean_2,21.311
BEPNIV_clean_4,4.83317
AYOYEU_clean_2,11.5855
BEXVAD01_clean_15,1.01299
BEZSIK_clean_14,0.283912
BEPMAM_clean_4,5.33261
BEXTUV_clean_15,1.08482
BAZDAJ_charged_19,7.1265
BEPNOB_clean_4,4.89052
BAZDAJ_clean_19,7.19176
BEVWAB_clean_12,2.05173
BEPMIU_clean_4,5.4572
BETDOV_clean_15,3.32821
BEPMEQ_clean_4,5.53902
BEXVAD_clean_15,1.18908
BEWWEH_clean_19,2.12897
AWIBIS_clean_15,13.3996
BELJIL_clean_2,6.70279
BIBXUH_clean_225,0.686285
BETFOX_clean_15,3.33505
BEPNUH_clean_4,5.46078
BEXSAA_clean_14,2.08907
BEXRUT_clean_14,2.15575
BEYKEX_clean_14,1.38253
BEXSII_clean_14,1.98552
BETDAH_clean_2,4.24351
BEZDUH_clean_2,1.27585
BETDEL_clean_2,4.25015
BEXRAY_clean_19,2.5957
BIMDIL_clean_131,0.408697
BETDIP_clean_2,4.33215
AXUBAW_manual_1,13.028
BEXQUR_clean_19,2.71445
BICPOT_clean_15,1.09136
BEXREC_clean_19,2.60984
BAZJIX_clean_2,8.12626
BEXRIG_clean_19,2.63504
BEPPAP_clean_4,5.92325
BAQWEY_clean_2,9.50857
BETDUB_clean_2,4.24214
AXUBAW_clean5b_1,13.354
BEXQOL_clean_19,3.0502
BEXPAX_clean_5,3.14327
BIMDEF_clean_15,0.797559
BETFAJ_clean_2,4.43113
BADYAJ_clean_14,11.8056
BETFEN_clean_2,4.41293
BIBYAO_clean_225,1.70064
BIWHAQ_clean_61,0.50301
AJIGIL_clean_19,29.6042
BIQRIE_clean_15,0.722827
BETGAK_clean_2,4.41156
BIWYAH10_clean_14,0.856277
BEXSEE_clean_14,3.2494
BETFUD_clean_2,4.63723
BIQFOW_clean_2,1.27852
BEWVOQ_clean_1,4.04374
AWIBAK_clean_15,15.4135
BEPPOD_clean_4,6.66847
BIBBUL_clean_19,2.72003
AWEZOS_clean_15,15.5256
AWEZOS01_clean_15,15.5818
BOCTEU01_clean_64,0.354245
BOCTOE04_clean_15,0.248487
BOCTOE05_clean_15,0.243595
ASINAT_clean_2,21.4883
BEPPIX_clean_4,7.34868
BOCTOE01_clean_14,0.550709
BIQHEQ_clean_55,1.83456
BOCTOE03_clean_14,0.555421
BIHBEB_clean_65,2.70099
BOCTOE02_clean_14,0.605324
BIHMUC_clean_2,2.66538
BOCTOE_clean_14,0.535434
BOHGOU_clean_9,0.471549
BIVXEK_clean_2,1.99783
BIYTAG_clean_62,1.88873
BIYVEM_clean_62,1.8642
ALOLES_ion_b_1,30.3602
BIYSUZ_clean_62,2.1927
BOHXIH_clean_201,0.857954
BELVEV_charged_2,9.35531
BICPUA_clean_40,3.60966
BOMCUB_charged_21,0.48992
BEPNER_clean_5,8.88596
BOMCUB_clean_21,0.517406
BOJDAG_clean_58,0.933601
BOFCEG_clean_14,1.22275
BARZAW_clean_2,11.9905
BIJJOV_clean_15,3.41342
BAFCAP_clean_2,14.2944
BARZIE_clean_2,12.3987
BOJYIK01_clean_2,1.33402
BOWNUY_clean_221,0.430896
BIXYEO_clean_14,3.01503
BEXQIF_clean_4,6.16497
BONWAD_clean_14,0.914946
BOQYUD_clean_15,0.828211
BARZOK_clean_2,12.6211
BOTLED_clean_2,0.738808
BIYVIQ_clean_19,3.08515
BOCKOT_clean_14,2.66409
BIFKEI_clean_2,4.63875
BABREE_clean_2,15.5206
